,Country,Year,Rank,Total,S1: Demographic Pressures,S2: Refugees and IDPs,C3: Group Grievance,E3: Human Flight and Brain Drain,E2: Economic Inequality,E1: Economy,P1: State Legitimacy,P2: Public Services,P3: Human Rights,C1: Security Apparatus,C2: Factionalized Elites,X1: External Intervention
64,Tanzania,2023,65th,76.6,8.6,4.9,5.2,6.4,7.3,6.2,6.9,8.4,5.6,4.6,6.5,6.0
65,Lesotho,2023,66th,76.3,8.6,3.9,3.1,7.5,7.9,8.4,4.9,7.2,4.9,5.8,7.3,6.8
66,Gambia,2023,67th,76.10000000000001,8.2,5.8,2.8,6.9,5.9,7.6,6.4,7.6,6.9,5.1,7.4,5.5
67,Jordan,2023,68th,75.7,6.3,8.4,8.2,5.7,4.4,6.4,6.9,4.8,7.2,4.6,6.9,5.9
68,Kyrgyz Republic,2023,69th,75.60000000000001,5.7,3.9,7.9,6.7,4.9,6.9,8.2,4.7,6.6,5.6,8.2,6.3
69,Laos,2023,70th,74.69999999999999,6.4,5.4,7.2,6.4,5.3,5.1,8.9,6.3,6.8,3.9,8.3,4.7
70,Brazil,2023,71st,74.5,8.7,3.5,7.5,3.5,6.8,6.6,7.1,7.2,7.9,6.2,6.5,3.0
71,Tajikistan,2023,72nd,74.2,7.0,3.8,6.7,5.4,4.3,5.7,9.4,4.7,8.6,5.5,8.4,4.7
72,India,2023,73rd,74.10000000000001,8.5,4.1,8.1,4.9,5.8,6.2,4.5,7.3,7.5,6.0,7.3,3.9
73,Benin,2023,74th,73.30000000000001,8.0,5.9,2.6,6.1,7.8,6.8,5.3,8.3,5.7,5.2,6.7,4.9
74,Peru,2023,75th,73.10000000000001,7.6,4.5,8.0,5.8,6.2,4.6,7.3,7.2,5.7,6.0,8.4,1.8
75,Azerbaijan,2023,76th,72.69999999999999,3.8,6.3,5.9,4.6,4.5,4.5,9.2,4.9,7.5,5.8,7.9,7.8
76,Bosnia and Herzegovina,2023,77th,72.3,6.1,7.2,6.4,7.1,3.9,6.6,6.4,4.2,4.3,4.4,8.7,7.0
77,South Africa,2023,78th,72.0,8.0,4.0,6.0,4.5,6.9,8.1,6.1,7.1,4.8,6.6,6.8,3.1
78,Georgia,2023,79th,71.89999999999999,4.7,6.5,7.1,6.5,4.4,5.3,8.0,3.8,5.0,5.0,8.8,6.8
79,Senegal,2023,80th,71.50000000000001,7.4,5.8,5.0,6.9,6.3,7.5,3.7,7.9,4.6,4.5,7.0,4.9
80,Bolivia,2023,81st,70.7,6.9,2.6,6.4,5.6,7.6,5.7,6.4,6.3,5.7,5.3,8.2,4.0
81,Fiji,2023,82nd,70.19999999999999,4.6,3.2,5.4,7.6,5.0,7.5,6.1,4.2,5.4,6.4,8.2,6.6
82,Algeria,2023,83rd,69.99999999999999,5.0,6.2,7.0,5.1,5.2,6.2,7.6,5.0,6.9,5.8,6.9,3.1
83,Belarus,2023,84th,69.9,4.8,3.2,5.3,4.6,3.3,5.3,9.4,2.7,8.3,5.4,9.6,8.0
84,Mexico,2023,85th,69.8,6.9,5.5,6.1,4.7,5.7,4.5,6.3,6.3,5.6,8.3,5.9,4.0
85,Sao Tome and Principe,2023,86th,69.7,6.9,5.2,4.2,7.3,6.7,8.9,3.8,6.6,2.4,4.1,6.3,7.3
86,Ecuador,2023,87th,69.39999999999999,6.7,5.0,5.9,4.2,6.2,6.0,6.4,6.0,4.3,6.0,8.2,4.5
87,Micronesia,2023,88th,69.30000000000001,5.8,4.2,3.7,8.4,6.8,8.3,4.1,6.2,3.3,3.1,5.6,9.8
88,El Salvador,2023,89th,69.3,6.8,5.3,5.3,8.7,5.1,5.5,5.2,6.2,5.4,6.0,4.8,5.0
89,Morocco,2023,90th,68.19999999999999,4.4,5.1,8.3,7.1,4.8,5.7,6.8,5.1,5.4,4.3,6.6,4.6
90,Thailand,2023,91st,68.0,6.1,4.9,7.1,3.7,4.3,3.5,7.5,3.5,7.7,8.0,9.7,2.0
91,Serbia,2023,92nd,67.9,4.1,6.8,7.8,6.0,4.3,6.1,5.6,3.9,3.7,3.9,8.6,7.1
92,Armenia,2023,93rd,67.5,3.8,6.8,5.9,7.2,2.8,6.4,6.3,3.4,5.8,5.7,6.4,7.0
93,Moldova,2023,94th,67.39999999999999,5.4,6.0,5.8,8.1,3.6,6.4,4.9,4.6,3.9,4.5,7.8,6.4
94,Uzbekistan,2023,95th,66.80000000000001,4.3,3.8,5.4,4.8,5.3,5.1,9.0,4.0,7.3,5.6,8.8,3.4
95,Bhutan,2023,96th,66.4,5.4,5.8,9.7,5.5,4.3,5.6,2.8,5.6,5.0,2.7,7.5,6.5
96,Tunisia,2023,97th,66.39999999999999,4.3,2.9,6.9,5.6,4.1,8.0,5.7,4.4,5.5,6.9,7.5,4.6
97,Indonesia,2023,98th,65.60000000000001,7.0,4.4,6.9,5.7,4.4,4.1,4.7,5.9,6.5,5.2,7.1,3.7
98,Gabon,2023,99th,65.50000000000001,6.7,2.6,3.1,4.6,5.8,5.9,8.1,6.8,6.1,4.2,7.7,3.9
99,Saudi Arabia,2023,100th,65.3,4.3,3.2,9.5,2.7,4.8,3.6,7.6,3.8,8.1,5.1,8.5,4.1
100,Samoa,2023,103rd,65.1,4.7,3.5,5.1,10.0,3.7,6.9,4.1,4.9,3.8,3.6,5.1,9.7
